V applied,V meter avg,V applied reverse,V meter avg reverse (mV)
0,0.183,-0.256,68.2
0.236,0.301,-0.462,16
0.402,0.389,-0.68,0.7
0.6,0.494,-0.862,-0.8
0.84,0.625,-1,-1
1.069,0.744,-1.229,-1
1.252,0.834,-1.446,-1.1
1.422,0.917,-1.606,-1.1
1.628,1.036,-1.927,-1.1
1.834,1.13,-2.202,-1.2
2.007,1.207,-2.521,-1
2.211,1.305,-3.013,-1.1
2.452,1.407,-3.63,-1.1
2.612,1.477,-9.86,-1.1
2.817,1.555,-30.29,-1.1
3.044,1.65,-60,-1.2
3.251,1.716,,
3.446,1.793,,
3.675,1.855,,
3.904,1.948,,
4.1,2.012,,
4.33,2.049,,
4.61,2.148,,
4.97,2.201,,
5.26,2.302,,
5.55,2.325,,
5.87,2.367,,
6.21,2.368,,
6.52,2.413,,
6.9,2.455,,
7.43,2.515,,
7.85,2.544,,
8.28,2.564,,
8.88,2.625,,
9.34,2.754,,
9.93,2.73,,
10.41,2.801,,
10.91,2.813,,
11.46,2.845,,
12,2.955,,
12.5,2.972,,
13.02,3.009,,
13.51,3.037,,
14.03,3.016,,
15,3.026,,
16.09,3.025,,
18.05,3.009,,
22.04,3.103,,
26.04,3.086,,
30.04,3.11,,
35.05,3.269,,
40.01,3.221,,
50,3.249,,
60.1,3.375,,
